MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924796,0.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,0.0300000
MsgID.LOCAL_POSITION,13.5080000,-0.0877193,0.1843701,-0.0863226
MsgID.LOCAL_VELOCITY,13.5080000,0.0212712,-0.0291957,0.0334687
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924813,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,-0.0800000
MsgID.LOCAL_POSITION,13.7580000,0.0992830,0.2657051,-0.0824556
MsgID.LOCAL_VELOCITY,13.7580000,0.0249442,-0.0302161,-0.0790090
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924817,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-0.0400000
MsgID.LOCAL_POSITION,14.0080000,0.1386893,0.1991441,-0.0925106
MsgID.LOCAL_VELOCITY,14.0080000,0.0030588,-0.0348270,-0.0483157
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924808,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0300000,0.0400000
MsgID.LOCAL_POSITION,14.2580000,0.0446653,0.2367435,-0.0923875
MsgID.LOCAL_VELOCITY,14.2580000,-0.0115377,-0.0323044,0.0498103
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924802,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0300000,-0.0100000
MsgID.LOCAL_POSITION,14.5080000,-0.0194218,0.2179212,-0.0849695
MsgID.LOCAL_VELOCITY,14.5080000,-0.0139662,-0.0341120,-0.0175359
MsgID.GLOBAL_POSITION,0.0000000,-122.3974522,37.7924807,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,0.0200000
