time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.012425,0.414881
0.929992,0.012781,0.415739
0.934992,0.012843,0.417030
0.939991,0.011040,0.417893
0.944991,0.011014,0.419191
0.949991,0.011141,0.420059
0.954991,0.011121,0.421365
0.959991,0.013017,0.422238
0.964991,0.013090,0.423551
0.969991,0.013045,0.424428
0.974991,0.013114,0.425749
0.979991,0.012718,0.426631
0.984991,0.012766,0.427959
0.989991,0.013712,0.428846
0.994991,0.013804,0.430181
0.999991,0.012193,0.431073
1.004991,0.012204,0.432415
1.009991,0.012505,0.433312
1.014991,0.012530,0.434660
1.019992,0.011034,0.435561
1.024992,0.010986,0.436917
1.029992,0.010474,0.437823
1.034992,0.010403,0.439185
1.039993,0.008627,0.440095
1.044993,0.008473,0.441464
1.049993,0.008759,0.442378
1.054993,0.008624,0.443754
1.059994,0.008115,0.444673
1.064994,0.007960,0.446054
1.069994,0.008779,0.446978
1.074994,0.008669,0.448366
1.079994,0.008103,0.449293
1.084995,0.007969,0.450687
1.089995,0.008576,0.451619
1.094995,0.008476,0.453020
1.099995,0.008690,0.453955
1.104996,0.008604,0.455362
1.109996,0.006752,0.456302
1.114996,0.006580,0.457715
1.119996,0.006776,0.458658
1.124997,0.006620,0.460077
1.129997,0.006158,0.461025
1.134997,0.005986,0.462449
1.139997,0.006984,0.463401
1.144997,0.006864,0.464831
1.149998,0.007708,0.465787
1.154998,0.007633,0.467223
1.159998,0.008498,0.468182
1.164998,0.008466,0.469624
1.169999,0.008977,0.470587
1.174999,0.008971,0.472034
1.179999,0.009378,0.473001
1.184999,0.009392,0.474454
1.190000,0.011608,0.475424
1.195000,0.011728,0.476882
1.200000,0.012004,0.477856
1.205000,0.012134,0.479320
1.210001,0.013795,0.480297
1.215001,0.014001,0.481766
1.220001,0.014041,0.482747
1.225001,0.014243,0.484222
1.230001,0.015673,0.485206
1.235002,0.015937,0.486685
1.240002,0.014111,0.487673
1.245002,0.014278,0.489158
1.250002,0.013783,0.490149
1.255003,0.013920,0.491638
1.260003,0.012721,0.492633
1.265003,0.012795,0.494127
1.270003,0.014611,0.495125
1.275004,0.014772,0.496625
1.280004,0.015581,0.497626
1.285004,0.015776,0.499130
1.290004,0.016190,0.500134
1.295004,0.016399,0.501643
1.300005,0.016736,0.502651
1.305005,0.016954,0.504164
1.310005,0.015638,0.505175
1.315005,0.015785,0.506693
1.320006,0.016606,0.507707
1.325006,0.016788,0.509230
1.330006,0.018141,0.510247
1.335006,0.018383,0.511774
1.340007,0.020006,0.512794
1.345007,0.020318,0.514326
1.350007,0.020206,0.515349
1.355007,0.020503,0.516885
1.360008,0.019846,0.517911
1.365008,0.020101,0.519452
1.370008,0.019168,0.520480
1.375008,0.019370,0.522025
